"farm","inner.radius","outer.radius","coffee","developed","forest","past/grass","shrub","water"
"UTUA5",500,"1000",0.0955630242824554,0.0610584542155266,0.79617840051651,0.0401788018643856,0.00702124927192926,0
"YAUC3",500,"1000",0.160134434700012,0.0553491115570068,0.757300317287445,0.024541113525629,0.00267502502538264,0
"YAUC4*",500,"1000",0.174441754817963,0.104583106935024,0.705028355121613,0.0151825109496713,0.00076429289765656,0
"YAUC5*",500,"1000",0.0481138005852699,0.0607720799744129,0.873790800571442,0.0169411227107048,0.00038214644882828,0
"ADJU7",1000,"1500",0.11814870685339,0.050663448870182,0.651046812534332,0.109791181981564,0.00985937844961882,0.0604905001819134
"ADJU8",1000,"1500",0.114428855478764,0.0486579835414886,0.808436214923859,0.0258470978587866,0.00262987241148949,0
"ADJUCP",1000,"1500",0.00459690392017365,0.181607693433762,0.763613164424896,0.0458911992609501,0.00429103802889585,0
"JAYU2",1000,"1500",0.00956627540290356,0.0503308922052383,0.876367568969727,0.05871606990695,0.00501926662400365,0
"JAYU3",1000,"1500",0.00400269217789173,0.0792044997215271,0.813302040100098,0.095913976430893,0.00757679808884859,0
"JUAN1",1000,"1500",0.018641559407115,0.0227365531027317,0.911034345626831,0.0443815924227238,0.0032059820368886,0
"JUAN7*",1000,"1500",0.0145211555063725,0.0340086705982685,0.926312983036041,0.0249279048293829,0.000229287878028117,0
"LASM1*",1000,"1500",0.0261192638427019,0.0864651501178741,0.851262032985687,0.0327458456158638,0.00340771349146962,0
"LASM2",1000,"1500",0.0146109806373715,0.0499610938131809,0.89005708694458,0.0435365401208401,0.00183430302422494,0
"LASM3",1000,"1500",0.0326668247580528,0.0650633126497269,0.88053834438324,0.0216988231986761,3.27224079228472e-05,0
"MARI2*",1000,"1500",0.13207720220089,0.0518559254705906,0.795987963676453,0.0185270998626947,0.00155179377179593,0
"MARI3*",1000,"1500",0.171024173498154,0.0256203468888998,0.771836280822754,0.0299142207950354,0.0016050151316449,0
"MARI8*",1000,"1500",0.258320689201355,0.0696952044963837,0.595597803592682,0.0713468119502068,0.00503948610275984,0
"OROC1",1000,"1500",0.05764489620924,0.0633559823036194,0.700432002544403,0.172184482216835,0.00638267397880554,0
"PONC1*",1000,"1500",0.0157017987221479,0.0331554897129536,0.919846892356873,0.0296159144490957,0.00167994992807508,0
"UTUA10",1000,"1500",0.0667341500520706,0.0688650459051132,0.824733436107635,0.0352385640144348,0.00442880252376199,0
"UTUA13",1000,"1500",0.0975822284817696,0.0535432286560535,0.812586843967438,0.0326191373169422,0.00366860604844987,0
"UTUA16*",1000,"1500",0.0233125984668732,0.0931213796138763,0.826724350452423,0.0474714376032352,0.00321003026328981,0.0061601884663105
"UTUA17*",1000,"1500",0.0270508918911219,0.0637178793549538,0.85149210691452,0.0552075244486332,0.00253164488822222,0
"UTUA18",1000,"1500",0.0468312650918961,0.147372007369995,0.710849225521088,0.0917437225580215,0.00320377037860453,0
"UTUA2",1000,"1500",0.0263739451766014,0.103292092680931,0.797327399253845,0.0544047765433788,0.000984396669082344,0.0176174640655518
"UTUA20*",1000,"1500",0.103853732347488,0.0849291011691093,0.685875415802002,0.116940535604954,0.00840121693909168,0
"UTUA30*",1000,"1500",0.0900322049856186,0.077154166996479,0.776776134967804,0.0498806573450565,0.00615681195631623,0
"UTUA5",1000,"1500",0.0724853053689003,0.0436001643538475,0.830341696739197,0.047238614410162,0.00633426196873188,0
"YAUC3",1000,"1500",0.060130450874567,0.0775633007287979,0.830407977104187,0.0300639867782593,0.00183430302422494,0
"YAUC4*",1000,"1500",0.0789346843957901,0.0731368884444237,0.817694365978241,0.0281652268022299,0.00206885952502489,0
"YAUC5*",1000,"1500",0.0636025965213776,0.0555242635309696,0.869106590747833,0.0110787525773048,0.000687863619532436,0
