"farm","radius","coffee","developed","forest","past/grass","shrub","water"
"MARI8*","700",0.604740560054779,0.0889348238706589,0.245166912674904,0.0558934397995472,0.00526426220312715,0
"OROC1","700",0.0268771164119244,0.0519646592438221,0.783208012580872,0.129761323332787,0.00818885210901499,0
"PONC1*","700",0.0157927870750427,0.0632544234395027,0.894027531147003,0.026925303041935,0,0
"UTUA10","700",0.0602744892239571,0.0467792488634586,0.83290022611618,0.0511109717190266,0.0089350575581193,0
"UTUA13","700",0.234871119260788,0.0672575309872627,0.6596360206604,0.0314662456512451,0.00676903408020735,0
"UTUA16*","700",0,0.107599869370461,0.819644629955292,0.0704158544540405,0.00233967206440866,0
"UTUA17*","700",0.0812939256429672,0.0985878854990005,0.750677943229675,0.0682803019881248,0.00115992268547416,0
"UTUA18","700",0.027208998799324,0.134223967790604,0.724880218505859,0.1119474619627,0.00173930998425931,0
"UTUA2","700",0.057042833417654,0.0918722972273827,0.781309068202972,0.0561388619244099,0.00584918027743697,0.00778778083622456
"UTUA20*","700",0.0585024692118168,0.0373555868864059,0.811870813369751,0.0885250344872475,0.00374613492749631,0
"UTUA30*","700",0.0132388053461909,0.0367233790457249,0.896603941917419,0.0464148595929146,0.00701901642605662,0
"UTUA5","700",0.138794660568237,0.0704426690936089,0.719631314277649,0.0629424974322319,0.00818885210901499,0
"YAUC3","700",0.201716110110283,0.052213042974472,0.708577215671539,0.0322293750941753,0.00526426220312715,0
"YAUC4*","700",0.210600823163986,0.0664903074502945,0.719399333000183,0.00350950821302831,0,0
"YAUC5*","700",0.034598883241415,0.0489729419350624,0.902659714221954,0.013768489472568,0,0
"ADJU7","800",0.265289485454559,0.0828702822327614,0.31358402967453,0.0471350848674774,0.00447827903553843,0.286642879247665
"ADJU8","800",0.248560801148415,0.0380198359489441,0.644765913486481,0.064623087644577,0.00403038458898664,0
"ADJUCP","800",0.0098522137850523,0.199791312217712,0.720910251140594,0.0667593106627464,0.00268696737475693,0
"JAYU2","800",0.14087949693203,0.155973270535469,0.592163443565369,0.103370748460293,0.00761307403445244,0
"JAYU3","800",0.192806586623192,0.20142075419426,0.473810762166977,0.122109688818455,0.0098522137850523,0
"JUAN1","800",0.0761888325214386,0.0431888438761234,0.85281491279602,0.0237769950181246,0.00403045117855072,0
"JUAN7*","800",0.00941177364438772,0.0752869844436646,0.8901686668396,0.0251325704157352,0,0
"LASM1*","800",0.0773602947592735,0.0576460175216198,0.848694145679474,0.0144859915599227,0.00181359727866948,0
"LASM2","800",0.0409924313426018,0.0686636120080948,0.82718813419342,0.0622601993381977,0.00089565577218309,0
"LASM3","800",0.0437251441180706,0.0718766301870346,0.828675627708435,0.054826945066452,0.00089565577218309,0
"MARI2*","800",0.227048322558403,0.0599380768835545,0.678301572799683,0.0311294235289097,0.00358262308873236,0
"MARI3*","800",0.231286644935608,0.0761573612689972,0.644924342632294,0.0440490208566189,0.00358262308873236,0
"MARI8*","800",0.555252492427826,0.0970889702439308,0.292471468448639,0.0511566549539566,0.00403045117855072,0
